Evaluation of a Population with size 5, on Track "Track1", using the following GA operators: 
Selection: DefaultSelectionOperator
Recombination: RandomRecombination
Mutation: MutateAllButBestTwo
FitnessCalculation: DefaultFitnessCalculation

1	0.009717457
2	0.01288013
3	0.01216817
4	0.01902879
5	0.01896656
6	0.01916993
7	0.04301204
8	0.0444192
9	0.04481744
10	0.04481889
11	0.04481873
12	0.3217833
13	0.3211412
14	0.3216754
15	0.3216758
16	0.3216759
17	0.321676
18	0.3216762
19	0.3216765
20	0.3237323
21	0.3236982
22	0.3344366
23	0.324256
24	0.3242432
25	0.3247142
26	0.3244945
27	0.4468569
28	0.40157
29	0.3981932
30	0.4469281
31	0.4454084
32	0.4095923
33	0.4070567
34	0.4036241
35	0.5996113
36	0.5996113
37	0.5890138
38	0.5996113
