Evaluation of a Population with size 30, on Track "Track1", using the following GA operators: 
Selection: DefaultSelectionOperator
Recombination: RandomRecombination
Mutation: MutateAllButBestTwo
FitnessCalculation: DefaultFitnessCalculation

1	0.04615341
2	0.06750755
3	0.1188597
4	0.3971175
5	0.3971175
6	0.6251435
7	0.7050331
8	0.7476658
9	0.7526249
10	0.7060488
11	0.7460878
12	0.7478389
13	0.7502522
14	0.7477531
15	0.7525668
16	0.7488708
17	0.7534377
18	0.782757
19	0.782757
20	0.7849311
21	0.7848234
22	0.7843994
23	0.7834496
24	0.7852405
25	0.7845242
26	0.7845047
27	0.7838141
28	0.782757
29	0.782757
30	0.782757
31	0.7690948
32	0.7840724
33	0.7893909
34	0.782757
35	0.7852667
36	0.784775
37	0.7857588
38	0.7861159
39	0.7847964
40	0.7854716
41	0.7858304
42	0.7840337
43	0.7870852
44	0.787169
45	0.786521
46	0.7846608
47	0.7849182
48	0.7868811
49	0.7850956
50	0.7863975
51	0.7861246
52	0.7879906
53	0.7870614
54	0.7858647
55	0.7863762
56	0.7864311
57	0.786747
58	0.7864434
59	0.7857789
60	0.7852893
61	0.7837091
62	0.786
63	0.7848917
64	0.7831103
65	0.785049
66	0.7429963
67	0.7851416
68	0.7847269
69	0.784378
70	0.7854515
71	0.786512
72	0.7895624
73	0.7876465
74	0.7477349
75	0.785763
76	0.7872834
77	0.7837448
78	0.7835482
79	0.7859334
80	0.7552027
81	0.7862693
82	0.782757
83	0.782757
84	0.7872383
85	0.7844896
86	0.7834578
87	0.7847918
88	0.7847774
89	0.7852834
90	0.7851471
91	0.7875555
92	0.789551
93	0.7831732
94	0.7827732
95	0.7842192
96	0.7828786
97	0.7848693
98	0.7848879
99	0.7855285
100	0.787785
101	0.7879304
102	0.7857795
103	0.7842284
104	0.7848513
105	0.7870852
106	0.7886251
107	0.7849442
108	0.7844795
109	0.7863638
110	0.7852717
111	0.785345
